,Unnamed: 0,Unnamed: 0.1,url,winery,name,types,region,country,rating,n_rating,price,review,grapes,regional,food
588,588,588,https://www.vivino.com/ventisquero-clasico-carmenere/w/1259561?year=2016&amp;price_id=15978872,Ventisquero,Clasico Carmenère 2016,Red wine,Central Valley,Chile,3.3,1105 ratings,11.5,"Community reviews
LA VINICOLA WINE BAR BELO HORIZONTE MG. STANDARD WINE TASTING (10 USD). Ruby purple colour, aromatic, cheery, cassis, raspberry, cinammon, herbaceous touch, regular finish. LA VINICOLA WINE BAR BELO HORIZONTE. Prova de vinhos de entrada (faixa de 10 dólares). Rubi violáceo, aromático, cereja, cassis, framboesa, canela, nota herbácea, final regular.
Like
Comments (50)
MARCELO BRANDÃO
6171 ratings
Rated on Mar 24, 2018
This was a surprise bottle of wine from our sommelier on a cruise ship. This was my first carmenere and I really enjoyed this bottle.
Like
Comment
Dr Z
909 ratings
Rated on Feb 4, 2018
This is the best carmenere I ever tasted. And that's because it tastes exactly like merlot. No wonder they thought for so long carmenere WAS in fact merlot. Carmenere was one of the grapes eradicated in Europe by filoxera. When imported to Chile, it was mixed up with and vinificated as Merlot till 94, when genetic tests proved it was the thought extinct Carmenere. Now no grape represents Chilean wine as this one.
Like
Comment
Milena Martinz
135 ratings
Rated on Aug 19, 2017
Show more reviews","Carménère
","Chilean Carménère
","Beef, Pasta, Lamb, Poultry"
589,589,589,https://www.vivino.com/bridlewood-winery-monterey-county-chardonnay/w/1879330?year=2013&amp;price_id=8146912,Bridlewood,Monterey County Chardonnay 2013,White wine,Monterey County,United States,3.4,280 ratings,22.5,"Community reviews
A good value Chardonnay. Bridlewood is consistent with both its whites and reds. Apple tart and french barrel oak on the nose, creamy and buttery, straw color, low to medium body, easy drinking, citric and fresh palate, and a pleasant vanilla finish. A wine with aging potential, the oak influence is balanced and not overbearing.
Like
Comments (1)
Christiaan Ketelaar
1083 ratings
Rated on Aug 29, 2016
The first aroma is butterscotch and cream. Then the ripe pear and melon show up with toasted oak. The flavor is sweeter with a heavier mouthfeel than expected. Pleasant but not spectacular
Like
Comment
Blackline
299 ratings
Rated on Sep 2, 2017
Good everyday Chardonnay for the price. Floral notes, tropical fruits, vanilla and hints of spice, not a lot of oak.
Like
Comment
Elliott Pickering
1507 ratings
Rated on Sep 21, 2015
Show more reviews","Chardonnay
","Californian Chardonnay
","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry
Alcohol
13.5%"
590,590,590,https://www.vivino.com/batasiolo-langhe-morino-chardonnay/w/2437386?year=2013&amp;price_id=8146929,Batasiolo,Langhe Morino Chardonnay 2013,White wine,Langhe,Italy,3.4,30 ratings,24.0,"Community reviews
Fruity and decent for the price
Like
Comment
Thomas Tan
108 ratings
Rated on Sep 12, 2018
unfortunately we did not start well as we had dry cork that was hard to get out. The color is a nice straw yellow. Nice citrus smell that is pleasant. The taste is rather ordinary for a wine this price. Although not bad, just not what I expected.
Like
Comment
Benjamas Spiteri
98 ratings
Rated on Oct 16, 2018
Very good Wine.
Like
Comment
Lars Jensen
4 ratings
Rated on Apr 3, 2015
Show more reviews","Chardonnay
","Northern Italy White
","Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat"
591,591,591,https://www.vivino.com/baron-philippe-de-rothschild-sa-mise-de-la-baronnie-pauillac/w/1378235?year=N.V.&amp;price_id=9406280,Baron Philippe de Rothschild,Mise de La Baronnie Pauillac N.V.,Red wine,Pauillac,France,3.9,665 ratings,37.25,"Community reviews
Beautiful feminine style Bordeaux. Floral, yet heavy and concentrated. Long finish.
Like
Comment
Danamoffatt
2269 ratings
Rated the 2011 vintage on Oct 17, 2015
Excelente custo beneficio!
Like
Comment
Ivan Rodrigues
283 ratings
Rated the 2006 vintage on Jul 9, 2014
Apellation Paulliac Controlee
Like
Comment
Juan Muñoz (Alvinum)
1197 ratings
Rated the 2006 vintage on Nov 25, 2015
Show more reviews","Cabernet Sauvignon, Cabernet Franc, Merlot
","Bordeaux Pauillac
","Beef, Lamb, Game (deer, venison), Poultry"
592,592,592,https://www.vivino.com/salton-desejo-merlot/w/1129870?year=2011&amp;price_id=2002789,Salton,Desejo Merlot 2011,Red wine,Campanha,Brazil,3.8,1677 ratings,26.5,"Community reviews
Delicious! Great, tasty Brazilian Merlot! Nice blackberry notes, well balanced
Like
Comments (3)
Kevin Conwell
215 ratings
Rated on May 5, 2013
Well done! Interesting chocolate taste. Uncork'd night.
Like
Comment
Alfredo França
1080 ratings
Rated on Sep 4, 2016
Very drinkable. Best with rich food but not especially heavy. Not particularly distinctly Merlot but not necessarily a bad thing.
Like
Comment
Peter Taylor
50 ratings
Rated on Jul 27, 2018
Show more reviews","Merlot
","Brazilian Merlot
","Beef, Lamb, Veal"
593,593,593,https://www.vivino.com/artefacto-branco/w/1626930?year=2014&amp;price_id=8146673,Artefacto,Branco 2014,White wine,Alentejano,Portugal,3.4,118 ratings,12.25,"Community reviews
Pleasant, mild, good fruit Goes well with food
Like
Comment
EDUARD D
251 ratings
Rated on Nov 21, 2015
By Luis Duarte - today is his birthday! Saúde!
Like
Comments (1)
Adrian Butuc
3229 ratings
Rated on Jan 4, 2017
Chard-style Portuguese white, blend of Antão Vaz, Arinto and Alvarinho, unctuous, pineapple , peaches and lime, 13.5%, excellent value, 3.6.
Like
Comment
Sidnei Castro
1943 ratings
Rated the 2015 vintage on Oct 27, 2018
Show more reviews","Arinto de Bucelas, Roupeiro, Antão Vaz
","Southern Portugal White
","Pasta, Pork, Shellfish, Lean fish"
594,594,594,https://www.vivino.com/cava-negra-cabernet-sauvignon-r7eae/w/1258071?year=N.V.&amp;price_id=16805935,Cava Negra,Cabernet Sauvignon N.V.,Red wine,Mendoza,Argentina,3.1,1510 ratings,10.5,"Community reviews
Um cabernet sauvignon muito gostoso, vivo e saboroso! Púrpuro profundo! Aroma de frutas vermelhas e especiarias...pra mim, lata de bolas de tênis abertas e tabaco. Taninos suaves e paladar persistente. A very tasty and lively Cabernet Sauvignon! Deep purple! Smells like a red fruits and spices ... for me, opened pack of tennis balls and tobacco. Soft tannins and persistent palate.
Like
Comment
Denis Andia
291 ratings
Rated the 2015 vintage on Mar 4, 2017
Excelente custo beneficio
Like
Comment
Rodrigo Garcia
528 ratings
Rated the 2013 vintage on Apr 1, 2015
Good value. Young and light.
Like
Comment
Maria Lima
0 ratings
Rated on Aug 9, 2014
Show more reviews","Cabernet Sauvignon
","Argentinian Cabernet Sauvignon
","Beef, Lamb, Poultry"
595,595,595,https://www.vivino.com/finca-lugilde-goulart-b-black-legion-special-blend/w/2251469?year=2010&amp;price_id=280908,Goulart,B Black Legion Special Blend 2010,Red wine,Mendoza,Argentina,3.9,891 ratings,36.0,"Community reviews
Another blockbuster in terms of alcohol - 14.2%, but this blend of Cabernet Franc and Malbec is perfectly balanced. Another wine which I would heartily recommend with cheeses and meats.
Like
Comment
Scott
186 ratings
Rated on Apr 9, 2015
Always lighter than expected. Still a lovely and smooth blend, however, and a different cut and style (slightly sweet fruit and low tannins) from the always-elegant Goulart winery.
Like
Comment
Lawrence Shackelford
174 ratings
Rated on Mar 31, 2014
(4.1) This is a good wine. For sure will will buy again. Blend 80% Malbec and 20% Cabernet Franc aged for 12 months in French oak and will good volume and nice body. Aromas of black fruits, currants, tobacco and a spice touch. On palate is firm with ripe tannins and perfect balance, full-body and flavors of dark chocolate, toasted notes and cinnamon. Finished smooth with long persistent and a ripe aftertaste. Highly recommended my friends.
Like
Comments (30)
Rodrigo Sitta
4911 ratings
Rated on Apr 23, 2016
Show more reviews","Cabernet Sauvignon, Cabernet Franc, Malbec
","Winery
Goulart
Grapes
Cabernet Sauvignon, Cabernet Franc, Malbec
Region
Mendoza
","Beef, Lamb, Pork, Game (deer, venison), Spicy food, Mature and hard cheese, Poultry, Mild and soft cheese"
596,596,596,https://www.vivino.com/fantinel-pinot-grigio-borgo-tesis/w/14661?year=2014&amp;price_id=8147091,Fantinel,Pinot Grigio Borgo Tesis 2014,White wine,Friuli Grave,Italy,3.6,366 ratings,17.5,"Community reviews
Cheap and cheerful, practice pineapple, minerals and tanginess. Not super serious Pinot Grigio but a white that won't leave you saddened 3.3
Like
Comment
Exotic Wine Travel
5477 ratings
Rated on Dec 25, 2016
Mm very nice pinot Grigio. Good acidity, fresh taste.
Like
Comment
Ձեր հարբեցող ընկերը։
7091 ratings
Rated on Jan 10, 2017
Fresh, good acid, fine smell
Like
Comment
Gyula Sallai
631 ratings
Rated on Oct 23, 2015
Show more reviews","Pinot Grigio
","Northern Italy Pinot Grigio
","Shellfish, Vegetarian, Mushrooms, Aperitif"
597,597,597,https://www.vivino.com/quinta-de-pancas-casa-de-pancas/w/75034?year=2012&amp;price_id=15978722,Quinta de Pancas,Casa de Pancas 2012,Red wine,Lisboa,Portugal,3.2,2735 ratings,17.25,"Community reviews
Cor Ruby. Aromas de frutas vermelhas maduras, violetas e pimenta. Na boca é seco, acidez média, taninos medios, corpo medio e notas herbais./ Ruby colour. Aromas of ripe red fruits, violets and pepper. On the palate, it's dry with medium acidity, medium tannins and medium body with herbal notes.
Like
Comments (6)
Saulo M. Silva
2087 ratings
Rated on Dec 20, 2015
Agradável. Com Cat Stevens e Fred, the cat.
Like
Comment
Paulo Afonso Lobato Fernandes
359 ratings
Rated on Nov 21, 2014
Deep, flavorful, excellent value
Like
Comment
Michael Klein
187 ratings
Rated on Jan 2, 2016
Show more reviews","Merlot, Tinta Roriz, Castelao
","Southern Portugal Red
","Beef, Pasta, Veal, Poultry"
598,598,598,https://www.vivino.com/chateau-maucaillou-moulis-en-medoc/w/94966?year=2011&amp;price_id=2652980,Château Maucaillou,Moulis-en-Médoc 2011,Red wine,Moulis-en-Médoc,France,3.8,1290 ratings,39.75,"Community reviews
Nice! Bought it during wine sale in the supermarket for around €10. Cherries but also other red en darker fruits in the nose, still some tannins so could last further years. Matches great on a Christmas eve with the hare stew, mashed potatos and stewed pears!
Like
Comment
Alexander dMT
295 ratings
Rated on Dec 24, 2017
Wonderful, dark fruit smell. Suple tannines and dry finish. Best left to breathe before quaffing ;-)
Like
Comment
Al Coholic
341 ratings
Rated on Nov 27, 2015
According to Polish: ""This is why I'm visiting France"", according to Sweedish:""No need to mix with schnapps"", according to Spanish:""🎆😂😡💀"", and according to British:""F.*** it kill this Australian merlo I had last Xmass... Pffff
Like
Comment
Fabrice Colusso
105 ratings
Rated on Dec 13, 2016
Show more reviews","Malbec, Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc
","Bordeaux Médoc
","Beef, Lamb, Game (deer, venison), Poultry
Alcohol
13%"
599,599,599,https://www.vivino.com/fantinel-refosco-dal-peduncolo-rosso-borgo-tesis/w/1270904?year=2011&amp;price_id=1375878,Fantinel,Refosco dal Peduncolo Rosso Borgo Tesis 2011,Red wine,Friuli Grave,Italy,3.2,168 ratings,37.75,"Community reviews
Fruity nose. Nothing old world abt the nose. Just fruity and more fruitiness after swirling. Slightly dry and oakey with soft vanilla after note. Long finish. I like it
Like
Comment
Graham Teo
269 ratings
Rated on Aug 17, 2015
Seems fine, with some intrigue inside
Like
Comment
Barbie
578 ratings
Rated on Nov 2, 2016
Neither good nor bad; just average
Like
Comment
Julyan
292 ratings
Rated on May 21, 2015
Show more reviews","Refosco dal Peduncolo rosso
","Northern Italy Red
","Beef, Pasta, Lamb, Game (deer, venison)"
600,600,600,https://www.vivino.com/bodega-senorio-de-barahonda-campo-arriba/w/1558983?year=2013&amp;price_id=15978738,Barahonda,Campo Arriba 2013,Red wine,Yecla,Spain,3.5,1088 ratings,19.0,"Community reviews
Requires breathing for at least 30 min. Then it becomes more than OK. Dark, dense and with conspicuous tannins.
Like
Comment
Charles Bonatto
950 ratings
Rated on Jul 22, 2017
Monastrell, Syrah and Tintorera, ripe Red cherries, dense , excellent value , 14.5%.
Like
Comment
Sidnei Castro
1943 ratings
Rated on Jan 29, 2017
This is seriously good stuff. Soft and smooth but what a taste bomb! Tastes like an expensive Rhone wine. Delicious!
Like
Comment
Leon M
1008 ratings
Rated on Dec 15, 2018
Show more reviews","Shiraz/Syrah, Monastrell, Garnacha Tinta
","Spanish Rhône Blend Red
","Beef, Pasta, Lamb, Game (deer, venison)"
601,601,601,https://www.vivino.com/es-bajoz-malvasia-blanco-toro/w/1721954?year=2015&amp;price_id=15978740,Bajoz,Malvasía Blanco Toro 2015,White wine,Toro,Spain,3.1,68 ratings,10.25,"Community reviews
Had this Malvasia with Christmas dinner and paired with salads and fish- perfect. Nice moneysaver and good quality for this money. Bought it just for 4€.
Like
Comments (3)
Treevino
2240 ratings
Rated on Dec 26, 2016
Generic, zesty and refreshing, with not so nany specific features. Lots of grapefruit, a little bit of green apple and white currant. Bitterish finish.
Like
Comment
shumovka
902 ratings
Rated on Apr 1, 2018
Nice value malvasia. Really nice on the nose, sweet hints, bubble gum, flowery,,, nice body and only the finish a bit too acidic for me. Too be drank very cold. 83/100
Like
Comment
AB
187 ratings
Rated on Nov 26, 2016
Show more reviews","Malvasia
",,"Winery
Bajoz
Grapes
Malvasia
Region
Toro"
602,602,602,https://www.vivino.com/camarsac-cuvee-prince-noir-bordeaux-superieur/w/1731562?year=2014&amp;price_id=8147067,Château de Camarsac,Cuvée Prince Noir Bordeaux Supérieur 2014,Red wine,Bordeaux Supérieur,France,3.3,3789 ratings,19.5,"Community reviews
Interesting merlot, not so fruit forward but plenty of flavor. After breathing a bit, goes down quite smooth. Complemented a good cheese plate nicely.
Like
Comment
Jake Lenihan
341 ratings
Rated on Aug 30, 2016
Valeur Superieur!!!! A Bordeaux worth of its name. feta ruby color with perfectly control tannins. Tobacco, currants, with slight hints of citrus. Smooth and sophisticated with its own personality. Great with a steak and a simple butter lettuce salad dressed in olive oil and lemon.
Like
Comment
Tony T.
567 ratings
Rated on Oct 18, 2017
Here's a typical Bordeaux, strong and structured. Requires at least half an hour breathing time.
Like
Comment
Charles Bonatto
950 ratings
Rated on May 6, 2017
Show more reviews","Cabernet Sauvignon, Cabernet Franc, Merlot
","Bordeaux Red
","Beef, Veal, Game (deer, venison), Poultry"
603,603,603,https://www.vivino.com/maison-bouachon-prince-de-monvert-cote-rotie/w/1563728?year=2009&amp;price_id=15978747,Maison Bouachon,Prince de Monvert Côte-Rôtie 2009,Red wine,Côte-Rôtie,France,4.2,28 ratings,57.5,"Community reviews
Smoked and oaky on the nose, with nice hint of fruit. On the palate, meaty with great tannins and greatly balanced. Nice fruit and a stony finish. Great for drinking now.
Like
Comment
Sune Angermeyer
43 ratings
Rated on Jan 24, 2017
Côte Rôtie, Northern Côte Rhône. Syrah red grape & Viognier white grape. Ready to drink. Expensive for what it’s worth it (at least in my Country with the taxes)
Like
Comment
Sato
1863 ratings
Rated on Jun 10, 2018
Excelente francês, elegante, aroma de frutas maduras e doces. Bom corpo, acidez equilibrada, taninos firmes, muito saboroso de retrogosto longo.
Like
Comments (4)
Luciano Machado
634 ratings
Rated on Feb 23, 2017
Show more reviews","Shiraz/Syrah, Viognier
","Northern Rhône Côte-Rotie
","Beef, Lamb, Game (deer, venison), Poultry"
604,604,604,https://www.vivino.com/ropiteau-chardonnay-bourgogne/w/1422215?year=2014&amp;price_id=9541538,Ropiteau Freres,Chardonnay Bourgogne 2014,White wine,Bourgogne,France,3.9,102 ratings,23.75,"Community reviews
With a respect to white wine, where journey started. It deserves to be 100. Gentle chardonnay, lightly sweety with acid hidden in long aftertaste bites. This is my favourite type of white
Like
Comments (5)
Egidijus D
198 ratings
Rated on Feb 17, 2018
Great Chardonnay with a long lasting taste. The predominant taste is butter. Notes of apple, pear, vanilla and citrus. Fun fact: bought this wine to convince my father that there’s good white wine. Unsuccessful.
Like
Comments (8)
Ferran Sala
480 ratings
Rated on Dec 24, 2018
A very citric wine with a a minerality as well that can be felt during the entire sip. That feeling at the tongue which is felt and tricks the saliva to come after it. It is a good wine. Nothing more... Nothing less. Very pale yellow color.
Like
Comment
Bruno F
851 ratings
Rated on Aug 9, 2017
Show more reviews","Chardonnay
","Burgundy White
","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat"
605,605,605,https://www.vivino.com/casas-del-toqui-terroir-selection-casablanca-pinot-noir-gran-reserva/w/1762870?year=2013&amp;price_id=8239590,Casas del Toqui,Terroir Selection Casablanca Pinot Noir Gran Reserva 2013,Red wine,Casablanca Valley,Chile,4.0,216 ratings,30.5,"Community reviews
Bom Pinot do Chile
Like
Comment
Marcelo Albuquerque
435 ratings
Rated on Dec 24, 2018
Very nice, smooth Pinot. Nice ruby colour and a very nice berry essence.
Like
Comment
Matt MacDonald
123 ratings
Rated on Jan 15, 2017
Didn't taste like pinot noir. Little to heavy for a PN.
Like
Comment
Floris & Nalu van de werf
376 ratings
Rated on Feb 4, 2017
Show more reviews","Pinot Noir
","Chilean Pinot Noir
","Beef, Veal, Game (deer, venison), Poultry"
606,606,606,https://www.vivino.com/miolo-wine-group-seival-estate-gamay/w/81670?year=2016&amp;price_id=8147028,Miolo,Seival Estate Gamay 2016,Red wine,Serra Gaúcha,Brazil,3.0,47 ratings,14.25,"Community reviews
Rótulo do Speto
Like
Comment
Tatiana Palladino
139 ratings
Rated on Jun 25, 2016
Aromas de frutas vermelhas, morangos e final q lembra banana. Na boca, boa acidez e harmonioso. /Aromas os red fruits, strawberries and a hint of bannana. On the palate, good acidity and harmonious. 83/100
Like
Comments (24)
Saulo M. Silva
2087 ratings
Rated the 2014 vintage on Oct 2, 2014
Interesting, but not remarkable! A Typical midweek wine. Good cost/benefit ratio!!
Like
Comment
Charles Bonatto
950 ratings
Rated the 2014 vintage on Feb 16, 2015
Show more reviews","Gamay
","Winery
Miolo
Grapes
Gamay
Region
Serra Gaúcha
",Beef
607,607,607,https://www.vivino.com/monte-do-desespero-malbec-blend/w/2403865?year=2014&amp;price_id=8731003,Que Guapo,Malbec Blend 2014,Red wine,Mendoza,Argentina,3.2,621 ratings,11.0,"Community reviews
Good value! Black fruits and peppers. Powerful, 14% !
Like
Comments (1)
Kayo Sodré
275 ratings
Rated on Nov 11, 2016
I don't normally put terrible ratings but I have to say I couldn't find anything good about this wine other than the price. We opened it at a Dinner party and sadly it was referred to as Turpentine...
Like
Comment
Brendan Neeson
74 ratings
Rated on Nov 3, 2016
Fruto secos chocolate Gusto DURO
Like
Comment
Julio Luc
2 ratings
Rated on Aug 12, 2017
Show more reviews","Shiraz/Syrah, Malbec, Bonarda
","Winery
Que Guapo
Grapes
Shiraz/Syrah, Malbec, Bonarda
Region
Mendoza
","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry"
608,608,608,https://www.vivino.com/la-chamiza-chardonnay-polo-amateur/w/1134034?year=2015&amp;price_id=8705635,La Chamiza,Chardonnay Polo Amateur 2015,White wine,Mendoza,Argentina,3.3,106 ratings,9.0,"Community reviews
WEEKEND ON THE POND OF NÁUTICO SETE LAGOAS MG. Uncomplicated Chardonnay, citric fruits, easy drinking, refreshing finish. FINAL DE SEMANA NA LAGOA DO NÁUTICO, SETE LAGOAS MG. Chardonnay descomplicado, frutas cítricas, fácil de beber, final refrescante.
Like
Comments (18)
MARCELO BRANDÃO
6171 ratings
Rated on Jun 1, 2017
Agradavel, citrico e com boa acidez. Honesto.
Like
Comment
EduCosta
1243 ratings
Rated the 2016 vintage on Mar 11, 2017
This chardonnay is drinkable, but I did not enjoy it fully as it is quite ordinary and basic. Clear citric tones, leak of softness. I love red wines of Chamiza, but looks like white ones are not a strong point of that winery.
Like
Comment
Ekaterina Racines
114 ratings
Rated the 2013 vintage on Apr 23, 2015
Show more reviews","Chardonnay
","Argentinian Chardonnay
","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry"
609,609,609,https://www.vivino.com/bridlewood-winery-cabernet-sauvignon/w/1506293?year=2013&amp;price_id=9442494,Bridlewood,Cabernet Sauvignon 2013,Red wine,Paso Robles,United States,3.7,1020 ratings,18.75,"Community reviews
Deep, rich colour and sweet fruit flavours, especially black fruit and jammy notes. A youthful wine with a hearty oak presence and a good amount of supportive tannin.
Like
Comment
Caz Sobec
572 ratings
Rated on Aug 6, 2016
A solid value as Paso Cabs go, it was full in body with a profile of dry dark red and purple fruits. An affordable crowd pleaser. Cheers Vivino friends!
Like
Comments (4)
Mark Gudgel
5994 ratings
Rated on Aug 13, 2016
Beautiful purple hue. Leather and berry jam aromas, followed by nice layers of fruit and oak, intertwined with spices and tannins. May benefit from some shelf time, but not a bad value to enjoy now.
Like
Comment
Tim M
777 ratings
Rated on May 12, 2017
Show more reviews","Cabernet Sauvignon
","Californian Cabernet Sauvignon
","Beef, Lamb, Game (deer, venison), Poultry
Alcohol
13.9%"
610,610,610,https://www.vivino.com/fantinel-tenuta-sant-helena-pinot-grigio/w/1292497?year=2013&amp;price_id=280949,Fantinel,Tenuta Sant'Helena Pinot Grigio 2013,White wine,Collio,Italy,3.6,553 ratings,23.5,"Community reviews
Dourado medio com unhas cobreadas. Aromas de amendoas, pessego, damasco, abacaxi. Na boca é seco, acidez media (+), corpo medio. Notas frutadas, amendoas./ Golden colour with cooper hues. Aromas of almonds, peache, apricot, pineapple. In the palate it's dry with medium (+) acidity, medium body. Notes of fruits and almonds. 90/100
Like
Comments (2)
Saulo M. Silva
2087 ratings
Rated on Nov 19, 2016
Very good refreshing white wine. Slight honey character with some stone fruit of apricot and peach. Good body and long finish
Like
Comment
Joe Coombe
604 ratings
Rated on Jul 27, 2017
It is a very good wine! It presented some peach and floral aromas! On the mouth the fruit is intense and it is very refreshing wine!
Like
Comment
Luís M
1136 ratings
Rated on Nov 13, 2016
Show more reviews","Pinot Grigio
","Northern Italy Pinot Grigio
","Shellfish, Vegetarian, Mushrooms, Aperitif"
611,611,611,https://www.vivino.com/fantinel-tenuta-sant-helena-sauvignon/w/2000809?year=2013&amp;price_id=280438,Fantinel,Tenuta Sant'Helena Sauvignon 2013,White wine,Collio,Italy,3.8,144 ratings,23.5,"Community reviews
Herbal, crispy, decent
Like
Comment
Adrian
1099 ratings
Rated on Sep 12, 2017
Very good white enjoyed at Malpensa Pane Vino
Like
Comment
Trond S
335 ratings
Rated on Apr 29, 2015
Great wine, fresh, not too mineral, passion fruit and butter.
Like
Comment
Amir Chadraoui
391 ratings
Rated on Jun 18, 2017
Show more reviews","Sauvignon Blanc, Picolit
","Northern Italy White
","Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat"
612,612,612,https://www.vivino.com/es-bajoz-gran-bajoz-toro/w/1131286?year=2011&amp;price_id=1779602,Bajoz,Gran Bajoz Toro 2011,Red wine,Toro,Spain,3.2,389 ratings,27.5,"Community reviews
Simple Toro, concentrated with dark fruit, oak and spices. No complexity and lacking some balance but decent offering at this price.
Like
Comments (1)
'rj'
2314 ratings
Rated on May 13, 2018
Plush, earthy with lifted sweet red cherry on the nose and palate. Good value packs with flavours though finish is a tad short. Vibrant aromas of red cherry, black fruit, earth and hint of coffee.
Like
Comment
DesignCanvas
2337 ratings
Rated on Jun 19, 2016
Enjoyable wine, haven't tried many spanish wine, but this one is quite allright. Light red colour and a very fruity nose. Taste is perhaps a little mild for my taste, but it is very fruity and does not scare anyone away with too much alcohol in the taste. Very pleasent to enjoy both at dinner and alone with a good movie.
Like
Comment
Jesper Nissen
328 ratings
Rated on Apr 15, 2015
Show more reviews","Tempranillo, Tinta de toro
","Spanish Toro Red
","Beef, Lamb, Game (deer, venison)"
613,613,613,https://www.vivino.com/roncaia-refosco/w/1580820?year=2011&amp;price_id=280900,La Roncaia,Refosco 2011,Red wine,Colli Orientali del Friuli,Italy,4.1,228 ratings,48.75,"Community reviews
Dark as night; even the rim. Supermodel legs; with anise, clove and charcoal on the nose. Velvety, fleshy and polished; with sweet tobacco, fresh ripe berries, plum compote, capuccino and Madagascar vanilla. Medium raisin finish with lively acidity and chewy tannins. 4.4
Like
Comments (10)
Epicúreo
283 ratings
Rated on Oct 28, 2017
Rich and medium-full body. Deep ruby reed with purple nuances. Black fruit, vanilla, chocolate, spicy and tobacco with a touch of nail polish. Warm, elegant, fresh and still balck fruit on the palate. Smooth tannin.
Like
Comment
Antonello Nicastri
458 ratings
Rated on Dec 30, 2018
Rich and full bodied with dark fruit, good with hearty food
Like
Comment
Allison Malter
235 ratings
Rated on Feb 24, 2016
Show more reviews","Refosco
","Northern Italy Red
","Beef, Pasta, Lamb, Game (deer, venison)"
614,614,614,https://www.vivino.com/ropiteau-pouilly-fuisse/w/1885488?year=2013&amp;price_id=1625858,Ropiteau Freres,Pouilly-Fuissé 2013,White wine,Pouilly-Fuissé,France,3.8,61 ratings,39.75,"Community reviews
Nice and simple - crisp green apples and strobe acidity with a lemon-citrus finish.
Like
Comment
Keith Dagen
3985 ratings
Rated on Feb 2, 2016
Smooth, oaky, light citrus finish.
Like
Comment
Dylan Davey
361 ratings
Rated on Jul 29, 2018
Dry good but not great. Lean.
Like
Comment
ROBERT PETZ
373 ratings
Rated on Mar 25, 2015
Show more reviews","Chardonnay
","Burgundy Macônnais White
","Pasta, Vegetarian, Cured Meat"
615,615,615,https://www.vivino.com/cava-negra-malbec-j5d36/w/1242480?year=2015&amp;price_id=16808191,Cava Negra,Malbec 2015,Red wine,Mendoza,Argentina,3.3,1376 ratings,11.5,"Community reviews
Gooseberry, vanilla, red fruit, med body, 13.6%, 0.5 for the QPR, excellent value.
Like
Comment
Sidnei Castro
1943 ratings
Rated on Mar 10, 2017
Buquet de mirtilo e chocolate. Na boca agradável.
Like
Comment
Benno Sanchez
1025 ratings
Rated on Jul 27, 2016
Intense, good for a cold night
Like
Comment
Lorenzo Schwanz
346 ratings
Rated on Jul 6, 2016
Show more reviews","Malbec
","Argentinian Malbec
","Beef, Lamb, Poultry"
616,616,616,https://www.vivino.com/cape-heritage-danger-point-colombard-chardonnay/w/1400349?year=2014&amp;price_id=280613,Cape Heritage,Danger Point Colombard - Chardonnay 2014,White wine,Western Cape,South Africa,3.3,1087 ratings,11.5,"Community reviews
Pleasant notes of melon, pineapple and sweet honey with just the tiniest hint of oak. On the palate - pineapple and red apple. The finish is crisp. Not setting the world alight, but for £5, who's complaining???
Like
Comment
Wine Pilgrim
474 ratings
Rated on Mar 4, 2016
Peaches, white flowers, round, med body, sweet orange, 12.5%, excellent value , Colombard/Chardonnay. Drink now.
Like
Comment
Sidnei Castro
1943 ratings
Rated on May 28, 2017
Fruity and fresh wine. Kinda good!
Like
Comment
Islane S
305 ratings
Rated on Jun 26, 2015
Show more reviews","Chardonnay, Colombard
","Winery
Cape Heritage
Grapes
Chardonnay, Colombard
Region
Western Cape
","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry"
617,617,617,https://www.vivino.com/porca-de-murca-tinto/w/1130406?year=N.V.&amp;price_id=8202106,Porca de Murca,Tinto N.V.,Red wine,Douro,Portugal,3.3,34858 ratings,11.75,"Community reviews
Color looks deep, but the wine is very dry. Nice nose, nothing special for this region, but for as default choose do table wine with meat
Like
Comment
T K
209 ratings
Rated on May 4, 2016
Massively tropical, pastry, custard and lemons. Medium acidity, rounded and lemony, medium spicy finish. Though that might be the peri-peri! Super satisfying.
Like
Comment
James QK
1185 ratings
Rated the 2011 vintage on May 28, 2015
Just makes the 3.5 stars. Cranberry, plum and blackcurrant in the nose. A light wine yet nice and juicy on the palate. Good length and medium tannins.
Like
Comments (1)
Declan H
1403 ratings
Rated the 2013 vintage on Dec 6, 2015
Show more reviews","Touriga Nacional, Tinta Roriz, Tinta Barroca, Touriga Francesa
","Portuguese Douro Red
","Beef, Pasta, Lamb, Game (deer, venison)"
